date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time (s)
0.0344;0.00321885;0.0229909;0.00067759;0.033
0.0345;0.00321655;0.022991;0.00067989;0.0331
0.0346;0.00321425;0.022991;0.00068219;0.0332
0.0347;0.00321195;0.0229911;0.00068449;0.0333
0.0348;0.00320965;0.0229912;0.00068679;0.0334
0.0349;0.00320735;0.0229913;0.00068909;0.0335
0.035;0.00320505;0.0229913;0.00069139;0.0336
0.0351;0.00320275;0.0229914;0.00069369;0.0337
0.0352;0.00320045;0.0229914;0.00069599;0.0338
0.0353;0.00319816;0.0229915;0.00069828;0.0339
0.0354;0.00319586;0.0229915;0.00070058;0.034
0.0355;0.00319356;0.0229916;0.00070288;0.0341
0.0356;0.00319126;0.0229916;0.00070518;0.0342
0.0357;0.00318896;0.0229917;0.00070748;0.0343
0.0358;0.00318666;0.0229917;0.00070978;0.0344
0.0359;0.00318436;0.0229917;0.00071208;0.0345
0.036;0.00318206;0.0229918;0.00071438;0.0346
0.0361;0.00317976;0.0229918;0.00071668;0.0347
0.0362;0.00317746;0.0229918;0.00071898;0.0348
0.0363;0.00317516;0.0229919;0.00072128;0.0349
0.0364;0.00317286;0.0229919;0.00072358;0.035
0.0365;0.00317056;0.0229919;0.00072588;0.0351
0.0366;0.00316827;0.022992;0.00072817;0.0352
0.0367;0.00316597;0.022992;0.00073047;0.0353
0.0368;0.00316367;0.022992;0.00073277;0.0354
0.0369;0.00316137;0.022992;0.00073507;0.0355
0.037;0.00315907;0.0229921;0.00073737;0.0356
0.0371;0.00315677;0.0229921;0.00073967;0.0357
0.0372;0.00315447;0.0229921;0.00074197;0.0358
0.0373;0.00315217;0.0229921;0.00074427;0.0359
0.0374;0.00314987;0.0229921;0.00074657;0.036
0.0375;0.00314757;0.0229922;0.00074887;0.0361
0.0376;0.00314527;0.0229922;0.00075117;0.0362
0.0377;0.00314297;0.0229922;0.00075347;0.0363
0.0378;0.00314068;0.0229922;0.00075576;0.0364
0.0379;0.00313838;0.0229922;0.00075806;0.0365
0.038;0.00313608;0.0229923;0.00076036;0.0366
0.0381;0.00313378;0.0229923;0.00076266;0.0367
0.0382;0.00313148;0.0229923;0.00076496;0.0368
0.0383;0.00312918;0.0229923;0.00076726;0.0369
0.0384;0.00312688;0.0229923;0.00076956;0.037
0.0385;0.00312458;0.0229923;0.00077186;0.0371
0.0386;0.00312228;0.0229923;0.00077416;0.0372
0.0387;0.00311998;0.0229923;0.00077646;0.0373
0.0388;0.00311768;0.0229924;0.00077876;0.0374
0.0389;0.00311538;0.0229924;0.00078106;0.0375
0.039;0.00311308;0.0229924;0.00078336;0.0376
0.0391;0.00311079;0.0229924;0.00078565;0.0377
0.0392;0.00310849;0.0229924;0.00078795;0.0378
0.0393;0.00310619;0.0229924;0.00079025;0.0379
0.0394;0.00310389;0.0229924;0.00079255;0.038
0.0395;0.00310159;0.0229924;0.00079485;0.0381
0.0396;0.00309929;0.0229924;0.00079715;0.0382
0.0397;0.00309699;0.0229924;0.00079945;0.0383
0.0398;0.00309469;0.0229924;0.00080175;0.0384
0.0399;0.00309239;0.0229925;0.00080405;0.0385
0.04;0.00309009;0.0229925;0.00080635;0.0386
0.0401;0.00308779;0.0229925;0.00080865;0.0387
0.0402;0.00308549;0.0229925;0.00081095;0.0388
0.0403;0.00308319;0.0229925;0.00081325;0.0389
0.0404;0.0030809;0.0229925;0.00081554;0.039
0.0405;0.0030786;0.0229925;0.00081784;0.0391
0.0406;0.0030763;0.0229925;0.00082014;0.0392
0.0407;0.003074;0.0229925;0.00082244;0.0393
0.0408;0.0030717;0.0229925;0.00082474;0.0394
0.0409;0.0030694;0.0229925;0.00082704;0.0395
0.041;0.0030671;0.0229925;0.00082934;0.0396
0.0411;0.0030648;0.0229925;0.00083164;0.0397
0.0412;0.0030625;0.0229925;0.00083394;0.0398
0.0413;0.0030602;0.0229925;0.00083624;0.0399
0.0414;0.0030579;0.0229925;0.00083854;0.04
0.0415;0.0030556;0.0229925;0.00084084;0.0401
0.0416;0.0030533;0.0229925;0.00084314;0.0402
0.0417;0.00305101;0.0229925;0.00084543;0.0403
0.0418;0.00304871;0.0229925;0.00084773;0.0404
0.0419;0.00304641;0.0229925;0.00085003;0.0405
0.042;0.00304411;0.0229925;0.00085233;0.0406
0.0421;0.00304181;0.0229925;0.00085463;0.0407
0.0422;0.00303951;0.0229925;0.00085693;0.0408
0.0423;0.00303721;0.0229925;0.00085923;0.0409
0.0424;0.00303491;0.0229925;0.00086153;0.041
0.0425;0.00303261;0.0229925;0.00086383;0.0411
