Date [s],Max:Particle Z-Coordinate (Study 01 - Particles) [m],Min:Absolute Translational Velocity (Study 01 - Particles) [m/s]
0,-1.#IND,-1.#IND
0.045,0.0038677,0.167737
0.0451,0.00385129,0.160495
0.0452,0.00383558,0.153725
0.0453,0.00382053,0.147392
0.0454,0.00380609,0.141451
0.0455,0.00379222,0.135873
0.0456,0.00377891,0.130636
0.0457,0.00376609,0.125704
0.0458,0.00375375,0.121058
0.0459,0.00374187,0.11668
0.046,0.00373041,0.112544
0.0461,0.00371935,0.108636
0.0462,0.00370868,0.104943
0.0463,0.00369836,0.101444
0.0464,0.00368838,0.09813
0.0465,0.00367872,0.0949873
0.0466,0.00366938,0.0920075
0.0467,0.00366032,0.0891755
0.0468,0.00365154,0.0864844
0.0469,0.00364302,0.0839272
0.047,0.00363475,0.0814919
0.0471,0.00362672,0.0791731
0.0472,0.00361892,0.0769654
0.0473,0.00361132,0.0748592
0.0474,0.00360394,0.0728503
0.0475,0.00359675,0.0709344
0.0476,0.00358975,0.0691035
0.0477,0.00358293,0.0673545
0.0478,0.00357627,0.0656827
0.0479,0.00356979,0.0640853
0.048,0.00356346,0.0625558
0.0481,0.00355727,0.061092
0.0482,0.00355124,0.0596915
0.0483,0.00354533,0.0583489
0.0484,0.00353956,0.0570624
0.0485,0.00353392,0.0558301
0.0486,0.0035284,0.0546474
0.0487,0.00352299,0.0535128
0.0488,0.00351769,0.0524249
0.0489,0.0035125,0.0513798
0.049,0.00350741,0.0503763
0.0491,0.00350242,0.0494123
0.0492,0.00349753,0.0484869
0.0493,0.00349273,0.0475967
0.0494,0.00348801,0.046741
0.0495,0.00348338,0.0459188
0.0496,0.00347883,0.0451273
0.0497,0.00347435,0.0443659
0.0498,0.00346995,0.0436337
0.0499,0.00346562,0.0429284
0.05,0.00346136,0.0422493
0.0501,0.00345717,0.0415959
0.0502,0.00345305,0.0409661
0.0503,0.00344898,0.0403594
0.0504,0.00344497,0.0397752
0.0505,0.00344102,0.0392117
0.0506,0.00343713,0.0386686
0.0507,0.00343329,0.0381451
0.0508,0.0034295,0.0376406
0.0509,0.00342576,0.0371536
0.051,0.00342207,0.036684
0.0511,0.00341842,0.0362312
0.0512,0.00341482,0.035794
0.0513,0.00341126,0.0353721
0.0514,0.00340775,0.0349653
0.0515,0.00340427,0.0345722
0.0516,0.00340083,0.0341927
0.0517,0.00339743,0.0338266
0.0518,0.00339407,0.0334728
0.0519,0.00339074,0.0331311
0.052,0.00338744,0.0328011
0.0521,0.00338418,0.0324825
0.0522,0.00338094,0.0321745
0.0523,0.00337774,0.0318769
0.0524,0.00337457,0.0315895
0.0525,0.00337142,0.0313116
0.0526,0.0033683,0.031043
0.0527,0.00336521,0.0307835
0.0528,0.00336215,0.0305325
0.0529,0.00335911,0.0302898
0.053,0.00335609,0.0300554
0.0531,0.0033531,0.0298285
0.0532,0.00335012,0.0296091
0.0533,0.00334717,0.029397
0.0534,0.00334424,0.0291919
0.0535,0.00334134,0.0289935
0.0536,0.00333844,0.0288015
0.0537,0.00333558,0.0286159
0.0538,0.00333272,0.0284362
0.0539,0.00332989,0.0282624
0.054,0.00332707,0.0280943
0.0541,0.00332427,0.0279316
0.0542,0.00332148,0.0277741
0.0543,0.00331871,0.0276218
0.0544,0.00331596,0.0274743
0.0545,0.00331322,0.0273315
0.0546,0.00331049,0.0271934
0.0547,0.00330778,0.0270597
0.0548,0.00330508,0.0269302
0.0549,0.00330239,0.0268049
0.055,0.00329972,0.0266836
0.0551,0.00329706,0.0265662
0.0552,0.0032944,0.0264525
0.0553,0.00329177,0.0263424
0.0554,0.00328914,0.0262358
0.0555,0.00328652,0.0261326
0.0556,0.00328391,0.0260327
0.0557,0.00328131,0.0259359
0.0558,0.00327872,0.0258422
0.0559,0.00327614,0.0257515
0.056,0.00327357,0.0256635
0.0561,0.00327101,0.0255784
0.0562,0.00326846,0.0254959
0.0563,0.00326591,0.0254161
0.0564,0.00326337,0.0253388
0.0565,0.00326084,0.0252638
0.0566,0.00325832,0.0251913
0.0567,0.00325581,0.025121
0.0568,0.0032533,0.0250529
0.0569,0.0032508,0.0249869
0.057,0.0032483,0.024923
0.0571,0.00324581,0.0248611
0.0572,0.00324333,0.0248012
0.0573,0.00324085,0.024743
0.0574,0.00323838,0.0246867
0.0575,0.00323591,0.0246322
0.0576,0.00323345,0.0245794
0.0577,0.003231,0.0245282
0.0578,0.00322855,0.0244785
0.0579,0.0032261,0.0244305
0.058,0.00322366,0.0243839
0.0581,0.00322122,0.0243388
0.0582,0.00321879,0.0242951
0.0583,0.00321636,0.0242527
0.0584,0.00321394,0.0242116
0.0585,0.00321152,0.0241719
0.0586,0.00320911,0.0241333
0.0587,0.0032067,0.0240959
0.0588,0.00320429,0.0240597
0.0589,0.00320188,0.0240246
0.059,0.00319948,0.0239906
0.0591,0.00319708,0.0239577
0.0592,0.00319469,0.0239258
0.0593,0.0031923,0.0238948
0.0594,0.00318991,0.0238648
0.0595,0.00318753,0.0238357
0.0596,0.00318515,0.0238076
0.0597,0.00318277,0.0237803
0.0598,0.00318039,0.0237538
0.0599,0.00317802,0.0237281
0.06,0.00317564,0.0237033
0.0601,0.00317328,0.0236792
0.0602,0.00317091,0.0236558
0.0603,0.00316854,0.0236332
0.0604,0.00316618,0.0236113
0.0605,0.00316382,0.02359
0.0606,0.00316146,0.0235694
0.0607,0.00315911,0.0235494
0.0608,0.00315675,0.0235301
0.0609,0.0031544,0.0235113
0.061,0.00315205,0.0234931
0.0611,0.0031497,0.0234755
0.0612,0.00314736,0.0234584
0.0613,0.00314501,0.0234418
0.0614,0.00314267,0.0234258
0.0615,0.00314033,0.0234102
0.0616,0.00313798,0.0233951
0.0617,0.00313565,0.0233805
0.0618,0.00313331,0.0233663
0.0619,0.00313097,0.0233526
0.062,0.00312864,0.0233392
0.0621,0.00312631,0.0233263
0.0622,0.00312397,0.0233138
0.0623,0.00312164,0.0233017
0.0624,0.00311931,0.0232899
0.0625,0.00311698,0.0232785
0.0626,0.00311466,0.0232675
0.0627,0.00311233,0.0232568
0.0628,0.00311001,0.0232464
0.0629,0.00310768,0.0232363
0.063,0.00310536,0.0232266
0.0631,0.00310304,0.0232171
0.0632,0.00310071,0.0232079
0.0633,0.00309839,0.023199
0.0634,0.00309608,0.0231904
0.0635,0.00309376,0.0231821
