date [s];Max:Particle Z-Coordinate (Study 01 - Particles) [m];Min:Absolute Translational Velocity (Study 01 - Particles) [m/s];displacement (m);time(s)
0.0591;0.00319708;0.0239577;0.00366911;0.0392
0.0592;0.00319469;0.0239258;0.0036715;0.0393
0.0593;0.0031923;0.0238948;0.00367389;0.0394
0.0594;0.00318991;0.0238648;0.00367628;0.0395
0.0595;0.00318753;0.0238357;0.00367866;0.0396
0.0596;0.00318515;0.0238076;0.00368104;0.0397
0.0597;0.00318277;0.0237803;0.00368342;0.0398
0.0598;0.00318039;0.0237538;0.0036858;0.0399
0.0599;0.00317802;0.0237281;0.00368817;0.04
0.06;0.00317564;0.0237033;0.00369055;0.0401
0.0601;0.00317328;0.0236792;0.00369291;0.0402
0.0602;0.00317091;0.0236558;0.00369528;0.0403
0.0603;0.00316854;0.0236332;0.00369765;0.0404
0.0604;0.00316618;0.0236113;0.00370001;0.0405
0.0605;0.00316382;0.02359;0.00370237;0.0406
0.0606;0.00316146;0.0235694;0.00370473;0.0407
0.0607;0.00315911;0.0235494;0.00370708;0.0408
0.0608;0.00315675;0.0235301;0.00370944;0.0409
0.0609;0.0031544;0.0235113;0.00371179;0.041
0.061;0.00315205;0.0234931;0.00371414;0.0411
0.0611;0.0031497;0.0234755;0.00371649;0.0412
0.0612;0.00314736;0.0234584;0.00371883;0.0413
0.0613;0.00314501;0.0234418;0.00372118;0.0414
0.0614;0.00314267;0.0234258;0.00372352;0.0415
0.0615;0.00314033;0.0234102;0.00372586;0.0416
0.0616;0.00313798;0.0233951;0.00372821;0.0417
0.0617;0.00313565;0.0233805;0.00373054;0.0418
0.0618;0.00313331;0.0233663;0.00373288;0.0419
0.0619;0.00313097;0.0233526;0.00373522;0.042
0.062;0.00312864;0.0233392;0.00373755;0.0421
0.0621;0.00312631;0.0233263;0.00373988;0.0422
0.0622;0.00312397;0.0233138;0.00374222;0.0423
0.0623;0.00312164;0.0233017;0.00374455;0.0424
0.0624;0.00311931;0.0232899;0.00374688;0.0425
0.0625;0.00311698;0.0232785;0.00374921;0.0426
0.0626;0.00311466;0.0232675;0.00375153;0.0427
0.0627;0.00311233;0.0232568;0.00375386;0.0428
0.0628;0.00311001;0.0232464;0.00375618;0.0429
0.0629;0.00310768;0.0232363;0.00375851;0.043
0.063;0.00310536;0.0232266;0.00376083;0.0431
0.0631;0.00310304;0.0232171;0.00376315;0.0432
0.0632;0.00310071;0.0232079;0.00376548;0.0433
0.0633;0.00309839;0.023199;0.0037678;0.0434
0.0634;0.00309608;0.0231904;0.00377011;0.0435
0.0635;0.00309376;0.0231821;0.00377243;0.0436
0.0636;0.00309144;0.0231739;0.00377475;0.0437
0.0637;0.00308912;0.0231661;0.00377707;0.0438
0.0638;0.00308681;0.0231585;0.00377938;0.0439
0.0639;0.00308449;0.0231511;0.0037817;0.044
0.064;0.00308218;0.023144;0.00378401;0.0441
0.0641;0.00307986;0.023137;0.00378633;0.0442
0.0642;0.00307755;0.0231303;0.00378864;0.0443
0.0643;0.00307524;0.0231238;0.00379095;0.0444
0.0644;0.00307292;0.0231175;0.00379327;0.0445
0.0645;0.00307061;0.0231113;0.00379558;0.0446
0.0646;0.0030683;0.0231054;0.00379789;0.0447
0.0647;0.00306599;0.0230996;0.0038002;0.0448
0.0648;0.00306368;0.0230941;0.00380251;0.0449
0.0649;0.00306137;0.0230887;0.00380482;0.045
0.065;0.00305906;0.0230834;0.00380713;0.0451
0.0651;0.00305676;0.0230783;0.00380943;0.0452
0.0652;0.00305445;0.0230734;0.00381174;0.0453
0.0653;0.00305214;0.0230686;0.00381405;0.0454
0.0654;0.00304983;0.023064;0.00381636;0.0455
0.0655;0.00304753;0.0230595;0.00381866;0.0456
0.0656;0.00304522;0.0230551;0.00382097;0.0457
0.0657;0.00304292;0.0230509;0.00382327;0.0458
0.0658;0.00304061;0.0230468;0.00382558;0.0459
0.0659;0.00303831;0.0230429;0.00382788;0.046
0.066;0.003036;0.023039;0.00383019;0.0461
0.0661;0.0030337;0.0230353;0.00383249;0.0462
0.0662;0.0030314;0.0230317;0.00383479;0.0463
0.0663;0.00302909;0.0230282;0.0038371;0.0464
0.0664;0.00302679;0.0230248;0.0038394;0.0465
0.0665;0.00302449;0.0230215;0.0038417;0.0466
0.0666;0.00302219;0.0230183;0.003844;0.0467
0.0667;0.00301988;0.0230152;0.00384631;0.0468
0.0668;0.00301758;0.0230122;0.00384861;0.0469
0.0669;0.00301528;0.0230093;0.00385091;0.047
0.067;0.00301298;0.0230065;0.00385321;0.0471
0.0671;0.00301068;0.0230037;0.00385551;0.0472
0.0672;0.00300838;0.0230011;0.00385781;0.0473
0.0673;0.00300608;0.0229985;0.00386011;0.0474
0.0674;0.00300378;0.022996;0.00386241;0.0475
0.0675;0.00300148;0.0229936;0.00386471;0.0476
0.0676;0.00299918;0.0229913;0.00386701;0.0477
0.0677;0.00299688;0.022989;0.00386931;0.0478
0.0678;0.00299458;0.0229868;0.00387161;0.0479
0.0679;0.00299229;0.0229847;0.0038739;0.048
0.068;0.00298999;0.0229826;0.0038762;0.0481
0.0681;0.00298769;0.0229806;0.0038785;0.0482
0.0682;0.00298539;0.0229786;0.0038808;0.0483
0.0683;0.00298309;0.0229768;0.0038831;0.0484
0.0684;0.0029808;0.0229749;0.00388539;0.0485
0.0685;0.0029785;0.0229732;0.00388769;0.0486
0.0686;0.0029762;0.0229714;0.00388999;0.0487
0.0687;0.0029739;0.0229698;0.00389229;0.0488
0.0688;0.00297161;0.0229682;0.00389458;0.0489
0.0689;0.00296931;0.0229666;0.00389688;0.049
0.069;0.00296701;0.0229651;0.00389918;0.0491
0.0691;0.00296472;0.0229636;0.00390147;0.0492
0.0692;0.00296242;0.0229622;0.00390377;0.0493
0.0693;0.00296013;0.0229608;0.00390606;0.0494
0.0694;0.00295783;0.0229594;0.00390836;0.0495
