Date [s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
6.26;-0.0912908;0.387107;0.463651;0.152395;-0.291141
6.28;-0.135883;0.327606;0.295692;0.085537;-0.430849
6.3;-0.192226;0.304699;0.256368;0.026781;-0.549062
6.32;-0.23201;0.336138;0.288357;-0.0601008;-0.659814
6.34;-0.278673;0.258657;0.276421;-0.0571829;-0.77296
6.36;-0.301338;0.265726;0.870211;0.0755686;-0.784445
6.38;-0.313053;0.185907;0.986637;0.171642;-0.76609
6.4;-0.255284;0.160164;1.16981;0.153877;-0.718766
6.42;-0.133296;0.232143;1.10402;0.401512;-0.585554
6.44;-0.0276524;0.271379;0.927443;0.270182;-0.468978
6.46;0.0100035;0.269637;0.81343;0.108773;-0.439705
6.48;-0.00564959;0.250042;0.778631;0.0310438;-0.524163
6.5;-0.0223678;0.341783;0.770028;-0.0143211;-0.604444
6.52;0.0363647;0.495152;1.07764;0.0919767;-0.603488
6.54;0.125377;0.430955;1.14771;0.294082;-0.581487
6.56;0.153629;0.404146;0.946904;0.445258;-0.527582
6.58;0.187209;0.429936;0.885271;0.484492;-0.534517
6.6;0.160199;0.396535;0.51844;0.45956;-0.566988
6.62;0.117695;0.309755;0.356089;0.356712;-0.614135
6.64;0.0566796;0.183712;0.283306;0.221217;-0.710106
6.66;-0.00887037;0.0136351;0.274668;0.105112;-0.82329
6.68;-0.0806922;-0.0604245;0.248225;-0.00878876;-0.898833
6.7;-0.136472;0.527756;0.290314;-0.0606597;-0.882398
6.72;0.302087;1.05366;0.455859;-0.0854929;-0.982912
6.74;0.520627;1.05833;0.776072;0.161231;-1.0293
6.76;0.172848;0.744937;0.996834;0.482803;-0.487416
6.78;0.036736;0.557163;0.745929;0.594757;-0.140227
6.8;-0.0922305;0.386226;0.486481;0.562662;-0.0118608
6.82;-0.227728;0.255286;0.272123;0.487049;-0.000697696
6.84;-0.333441;0.135538;0.162852;0.370414;-0.185115
6.86;-0.28924;0.0345067;0.0583828;0.216104;-0.415945
6.88;-0.252578;0.148795;-0.00696006;0.101693;-0.556761
6.9;-0.352238;0.320018;0.186286;0.0960078;-0.668408
6.92;-0.437146;0.513952;0.742778;0.232218;-0.720119
6.94;-0.368266;0.589342;0.941808;0.271141;-0.517309
6.96;-0.399648;0.450494;0.881063;0.172201;-0.405271
6.98;-0.393312;0.599002;1.46045;0.382572;-0.342159
7;-0.224737;0.872549;1.34392;0.41208;-0.265532
7.02;-0.0620572;1.03747;1.18309;0.382825;-0.185027
7.04;0.0179141;1.02154;0.926354;0.327795;-0.132209
7.06;0.00106895;0.854085;0.817994;0.305857;-0.0805069
7.08;-0.0874091;0.645378;0.721868;0.247192;-0.0685944
7.1;-0.134579;0.489762;0.490751;0.131586;-0.0963484
7.12;-0.21238;0.306348;0.446286;0.0562188;-0.167871
7.14;-0.28508;0.133777;0.486067;0.0262015;-0.229845
7.16;-0.331812;0.0745365;0.546259;0.0541512;-0.274888
7.18;-0.298452;0.124406;0.572622;0.0770746;-0.265219
7.2;-0.259502;0.185068;0.612054;0.169454;-0.190748
7.22;-0.192705;0.234917;0.618355;0.306673;-0.0508324
7.24;-0.141392;0.349038;0.646514;0.437899;0.0624601
7.26;-0.113549;0.435797;0.792678;0.620731;0.0978862
7.28;-0.0594073;0.558679;0.980467;0.737693;0.0566975
7.3;-0.0533113;0.56245;0.920077;0.736309;0.0354477
7.32;-0.114322;0.529168;0.950725;0.866728;-0.0173447
7.34;-0.17927;0.570033;0.909095;0.772255;-0.126841
7.36;-0.252764;0.534527;0.562198;0.305641;-0.276536
7.38;-0.390446;0.358796;0.343386;0.173188;-0.441382
7.4;-0.589074;0.254578;0.203817;0.0604367;-0.57625
7.42;-0.770991;0.12534;0.096041;0.0311931;-0.646999
7.44;-0.889141;-0.0196424;0.102732;0.237059;-0.653672
7.46;-0.975528;0.12105;0.334552;0.525707;-0.562923
7.48;-0.927089;0.830764;0.592006;0.653686;-0.428223
7.5;-0.858135;0.832584;0.581969;0.486396;-0.342214
7.52;-0.858689;0.46466;0.531142;0.283333;-0.26087
7.54;-0.894945;0.307717;0.636251;0.288807;-0.233267
7.56;-0.894642;0.227623;0.713358;0.426106;-0.231459
7.58;-0.853276;0.185259;0.610133;0.718166;-0.0704782
7.6;-0.824137;0.123235;0.351855;0.920631;0.0182648
7.62;-0.801215;0.0582515;0.283841;0.951728;0.0528932
7.64;-0.772617;-0.050247;0.233508;0.646404;-0.227545
7.66;-0.750851;-0.21973;0.284833;0.596161;-0.337005
7.68;-0.676426;-0.196771;0.461173;0.596811;-0.205754
7.7;-0.570769;-0.169947;0.709156;0.493828;-0.0719431
7.72;-0.474226;-0.133292;1.02396;0.675447;-0.00807035
7.74;-0.324451;-0.0268539;1.42223;0.826729;0.0983946
7.76;-0.152715;0.204459;1.41377;0.842611;0.166788
7.78;-0.0100775;0.395142;1.18898;0.778773;0.168264
7.8;0.0446595;0.452196;0.992501;0.624832;0.112567
7.82;0.0267208;0.418544;0.734553;0.430987;0.053266
7.84;-0.0506401;0.323354;0.546051;0.324985;-0.0264731
7.86;-0.152694;0.205784;0.431328;0.251981;-0.121782
