date [s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational Z-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.7,-0.38122,-0.279405,-0.39935,-0.341423,-0.417394
1.71,-0.372903,-0.204888,-0.0574539,-0.205876,-0.357596
1.72,-0.368046,-0.132567,0.434967,-0.0984989,-0.316092
1.73,-0.351124,-0.072981,0.603464,0.0521325,-0.301694
1.74,-0.334659,2.32719e-05,0.728961,0.154964,-0.270343
1.75,-0.323562,0.046465,0.850631,0.263691,-0.267078
1.76,-0.308463,0.0961783,0.904659,0.308381,-0.25175
1.77,-0.294679,0.100761,0.911627,0.312705,-0.238098
1.78,-0.289628,0.104194,0.884204,0.307226,-0.227755
1.79,-0.289789,0.0889905,0.832959,0.298354,-0.233464
1.8,-0.296528,0.0871552,0.796282,0.291096,-0.245303
1.81,-0.310678,0.074693,0.77879,0.265603,-0.25025
1.82,-0.304439,0.0593123,0.7495,0.249613,-0.247157
1.83,-0.303193,0.0554993,0.727442,0.224361,-0.241025
1.84,-0.312194,0.0465277,0.710662,0.214802,-0.255282
1.85,-0.304776,0.0435242,0.724146,0.212744,-0.244626
1.86,-0.281305,0.0593959,0.728494,0.213547,-0.24113
1.87,-0.257759,0.0923098,0.729873,0.216991,-0.248668
1.88,-0.248387,0.124247,0.738189,0.23518,-0.230972
1.89,-0.231091,0.175728,0.749866,0.250912,-0.193711
1.9,-0.18208,0.209974,0.728494,0.285423,-0.167206
1.91,-0.150125,0.258478,0.698248,0.292221,-0.147928
1.92,-0.132196,0.284551,0.657796,0.303959,-0.12771
1.93,-0.106289,0.310897,0.627756,0.31853,-0.0905135
1.94,-0.0863099,0.3322,0.57891,0.327279,-0.0668082
1.95,-0.0836964,0.348919,0.533595,0.320042,-0.0535549
1.96,-0.0602582,0.345314,0.479229,0.314419,-0.0458285
1.97,-0.0600798,0.340458,0.424925,0.302537,-0.0352856
1.98,-0.0592165,0.309938,0.369474,0.304769,-0.0321749
1.99,-0.0697551,0.284201,0.32498,0.303215,-0.0243634
2,-0.0864987,0.259758,0.289959,0.276319,-0.02702
