date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
2,0.0842858,0.206224,-0.113713,-0.253287,-0.0721777
2.01,0.0856993,0.205599,-0.11663,-0.245378,-0.0744855
2.02,0.0861812,0.21293,-0.121814,-0.234124,-0.0725034
2.03,0.0908542,0.216539,-0.125823,-0.227975,-0.0728545
2.04,0.0973701,0.211482,-0.124645,-0.211319,-0.0739434
2.05,0.0995663,0.204577,-0.127031,-0.207013,-0.076734
2.06,0.0946943,0.169378,-0.110785,-0.187498,-0.0839784
2.07,0.0965566,0.138516,-0.100901,-0.17361,-0.0948432
2.08,0.0933828,0.105038,-0.0787966,-0.152523,-0.104837
2.09,0.0851588,0.0759141,-0.072054,-0.132161,-0.113177
2.1,0.0788738,0.0374917,-0.055944,-0.105899,-0.115314
2.11,0.0728657,0.00762599,-0.0366656,-0.088384,-0.110945
2.12,0.0565662,-0.0305848,-0.0237157,-0.0713503,-0.106536
2.13,0.035879,-0.0704578,-0.0160712,-0.0564133,-0.0936991
2.14,0.00601616,-0.0934938,-0.0271458,-0.0371566,-0.0647355
2.15,-0.0196391,-0.125756,-0.0232215,-0.0181601,-0.0451176
2.16,-0.0545983,-0.133325,-0.0256389,0.0179316,-0.013111
2.17,-0.0732036,-0.141907,-0.0300487,0.0483439,0.015509
2.18,-0.0705574,-0.158212,-0.0181638,0.0785709,0.0426442
2.19,-0.0569007,-0.157593,-0.00707807,0.114469,0.0560284
2.2,-0.0308848,-0.157256,-0.0148812,0.135785,0.0584949
2.21,-0.0223946,-0.132224,-0.00970445,0.144657,0.0451444
2.22,-0.0142602,-0.101589,0.002522,0.141123,0.029775
2.23,-0.0116523,-0.0813709,0.0193195,0.127285,0.0192861
2.24,-0.0134121,-0.0660077,0.0165389,0.114283,0.00664284
2.25,-0.0100035,-0.0555378,0.0377581,0.0837807,-0.00243991
2.26,-0.00587671,-0.0431953,0.0294142,0.0562649,-0.0114711
2.27,-0.00147168,-0.0313133,0.0384038,0.0382466,-0.0199552
2.28,0.00257248,-0.0123803,0.0371652,0.0159648,-0.0320058
2.29,0.00477333,0.00473547,0.0495868,0.00298024,-0.0454879
2.3,0.0161211,0.0376827,0.0163949,-0.0580008,-0.0602823
2.31,0.0286069,0.0827052,0.108278,-0.143967,-0.0862757
2.32,0.0428601,0.132245,0.117784,-0.157713,-0.0901356
2.33,0.0520307,0.178098,0.102645,-0.139456,-0.0980497
2.34,0.0638083,0.208479,0.070418,-0.138084,-0.104754
2.35,0.0750993,0.223601,0.0485295,-0.140223,-0.114755
2.36,0.0703401,0.235127,0.0386845,-0.163707,-0.121552
2.37,0.0756039,0.243855,0.0310099,-0.224753,-0.11367
2.38,0.0806764,0.247642,0.0615163,-0.260255,-0.105816
2.39,0.0834065,0.245373,0.0699089,-0.280321,-0.101317
2.4,0.082157,0.252678,0.0633123,-0.294624,-0.10638
2.41,0.0757549,0.265007,0.0656916,-0.297694,-0.105855
2.42,0.0731335,0.281869,0.0689304,-0.284744,-0.0989686
2.43,0.074676,0.295208,0.0902668,-0.277633,-0.0970924
2.44,0.0734098,0.304375,0.107798,-0.270219,-0.10537
2.45,0.0768404,0.298809,0.127834,-0.266393,-0.0981542
2.46,0.0744688,0.283776,0.116706,-0.256672,-0.0946642
2.47,0.0704077,0.266538,0.09948,-0.247119,-0.0854842
2.48,0.0664161,0.258976,0.0391512,-0.24339,-0.0786596
2.49,0.0655534,0.255326,-0.0379453,-0.237047,-0.0736834
2.5,0.0625695,0.257913,-0.101336,-0.236915,-0.0651152
2.51,0.0618877,0.265282,-0.183206,-0.237054,-0.0590375
2.52,0.05995,0.272233,-0.223669,-0.235753,-0.0562999
2.53,0.0612067,0.275704,-0.250953,-0.229624,-0.0561557
2.54,0.0579459,0.260633,-0.291738,-0.224467,-0.0558604
2.55,0.0580062,0.207192,-0.311953,-0.217692,-0.0543945
2.56,0.0572276,0.149367,-0.323357,-0.214741,-0.0557
2.57,0.0623721,0.0815175,-0.315314,-0.213871,-0.0566147
2.58,0.0628257,0.0230178,-0.302562,-0.213358,-0.0572526
2.59,0.0671747,-0.0133855,-0.291129,-0.213113,-0.0595143
2.6,0.0713536,-0.0325336,-0.284859,-0.214813,-0.0636665
2.61,0.0740755,-0.0276375,-0.280376,-0.219547,-0.0683274
2.62,0.0757245,-0.0338388,-0.280565,-0.224101,-0.0742702
2.63,0.0775823,-0.0195113,-0.258859,-0.230933,-0.0787607
2.64,0.0679751,0.00141762,-0.253148,-0.239922,-0.0851303
2.65,0.051509,0.0198562,-0.194164,-0.250937,-0.0917772
2.66,0.0459706,0.0378719,-0.0967595,-0.265633,-0.0967183
2.67,0.0450196,0.0473229,-0.034736,-0.276242,-0.103645
2.68,0.0466292,0.078576,0.00539229,-0.275225,-0.112412
2.69,0.0523823,0.087204,0.0465838,-0.248042,-0.115024
2.7,0.0522836,0.102157,0.0760345,-0.198041,-0.126048
2.71,0.038684,0.0994898,0.0919596,-0.143258,-0.136277
2.72,0.0343097,0.094166,0.103559,-0.088475,-0.124051
2.73,0.0367764,0.086313,0.109453,-0.040941,-0.105904
2.74,0.0305463,0.0714898,0.129005,-0.0218846,-0.0914766
2.75,0.0299607,0.0710647,0.139128,-0.0263951,-0.0649623
2.76,0.0378927,0.0689217,0.149491,-0.0282314,-0.0593169
2.77,0.0448434,0.0730275,0.152282,-0.0273726,-0.0602984
2.78,0.0529882,0.0832818,0.159586,-0.0253425,-0.0671874
2.79,0.0611885,0.0992116,0.165252,-0.0283911,-0.0733715
2.8,0.0747633,0.118841,0.16351,-0.0269666,-0.0775246
2.81,0.0786172,0.144977,0.164654,-0.0255748,-0.0855705
2.82,0.0952017,0.1753,0.162911,-0.0266181,-0.0868635
2.83,0.0917778,0.218814,0.139357,-0.0276105,-0.101738
2.84,0.096696,0.234862,0.097858,-0.0498463,-0.0895202
2.85,0.0974814,0.231442,0.112725,-0.0816008,-0.0708839
2.86,0.0902275,0.197328,0.112106,-0.0885333,-0.0577304
2.87,0.0767161,0.172164,0.0790275,-0.0720153,-0.0404334
2.88,0.0695662,0.15428,0.0585877,-0.0550314,-0.0324131
2.89,0.0641399,0.158483,0.0558272,-0.0546956,-0.0280368
2.9,0.0591915,0.164208,0.0546419,-0.0624849,-0.0238981
2.91,0.0562161,0.172589,0.0646732,-0.0684432,-0.0205407
2.92,0.0510991,0.187308,0.0753149,-0.0735436,-0.0193335
2.93,0.0477727,0.197501,0.0863193,-0.0735498,-0.0169187
2.94,0.0465429,0.204388,0.0963456,-0.0800913,-0.015979
2.95,0.039869,0.21051,0.104705,-0.0868217,-0.0178529
2.96,0.0360112,0.212833,0.113003,-0.0932598,-0.0199702
2.97,0.0340338,0.209356,0.113151,-0.108608,-0.023267
2.98,0.0326945,0.203444,0.0916074,-0.120965,-0.0271
2.99,0.0315391,0.20225,0.0634014,-0.13628,-0.0320583
