Date [s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s];Average:Local X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
6.44;0.0263889;0.0434175;-0.571599;-0.517549;-0.179458
6.46;-0.0402137;0.0813517;-0.592219;-0.46106;-0.186869
6.48;-0.0153299;0.100488;-0.575949;-0.433269;-0.178403
6.5;0.0478632;0.0211006;-0.572235;-0.400553;-0.182851
6.52;0.0553646;0.00679863;-0.593936;-0.37601;-0.186083
6.54;0.0664915;-0.16362;-0.638483;-0.353517;-0.191326
6.56;0.0485833;-0.240605;-0.630292;-0.339464;-0.182157
6.58;0.0594669;-0.237361;-0.6954;-0.306535;-0.190939
6.6;0.076802;-0.3121;-0.632562;-0.260183;-0.198348
6.62;0.0240967;-0.31978;-0.661624;-0.213669;-0.220084
6.64;-0.00280741;-0.426674;-0.748554;-0.188998;-0.205124
6.66;0.0871663;-0.465272;-0.60118;-0.120067;-0.113726
6.68;0.0202912;-0.580771;-0.801149;-0.2218;-0.111358
6.7;-0.0299159;-0.596467;-0.821638;-0.396619;-0.14793
6.72;0.0288882;-0.578255;-0.734892;-0.443326;-0.167417
6.74;0.0785145;-0.297299;-0.664821;-0.415344;-0.170397
6.76;0.129109;-0.14272;-0.596099;-0.424343;-0.169833
6.78;0.130346;0.139978;-0.385544;-0.43368;-0.155325
6.8;0.118335;0.276465;-0.0248049;-0.42447;-0.113897
6.82;0.117241;0.380632;0.17971;-0.373105;-0.0581117
6.84;0.105352;0.418865;0.294513;-0.0771584;-0.0548441
6.86;0.0742608;0.397132;0.392011;0.124844;-0.0751536
6.88;0.0442089;0.360271;0.414865;0.217607;-0.0694491
6.9;0.050206;0.269649;0.135039;0.181612;-0.0800152
6.92;0.176914;0.211917;-0.0383024;0.228338;0.137225
6.94;0.145827;0.383317;-0.0431881;-0.180569;0.161666
6.96;0.140021;0.38741;0.27244;-0.184897;0.0569993
6.98;0.185863;0.370002;0.584319;-0.162905;0.0365022
7;0.251075;0.431575;0.712811;0.229108;0.0204529
7.02;0.272678;0.52256;0.851584;0.331442;-0.0137412
7.04;0.264686;0.598886;0.854946;0.234906;-0.0376425
7.06;0.284903;0.628766;0.8215;0.148746;-0.0524355
7.08;0.305263;0.630939;0.831397;0.321394;-0.0489021
7.1;0.331493;0.620833;0.837616;0.445849;-0.101132
7.12;0.316473;0.578767;0.805911;0.423563;-0.0840195
7.14;0.320034;0.561165;0.805538;0.231489;-0.0890893
7.16;0.296755;0.514716;0.800192;2.48791e-05;-0.19238
7.18;0.28424;0.435031;0.765911;-0.153392;-0.229763
7.2;0.258532;0.32725;0.603283;-0.273221;-0.209592
7.22;0.2381;0.226711;0.423425;-0.317317;-0.184342
7.24;0.178582;0.171982;0.272783;-0.370165;-0.101295
7.26;0.120413;0.133335;0.0265322;-0.358081;-0.030139
7.28;-0.0194925;0.11387;-0.197809;-0.35445;-0.0453178
7.3;-0.123024;0.196029;-0.419879;-0.476078;-0.141006
7.32;-0.169779;0.00433267;-0.619163;-0.461476;-0.200074
7.34;-0.129175;-0.0484211;-0.783459;-0.491848;-0.204117
7.36;-0.0809236;0.0132643;-0.497782;-0.392676;-0.198503
7.38;-0.0356565;0.397232;-0.243709;-0.258511;-0.127055
7.4;0.0251926;0.467474;-0.281351;-0.248571;-0.081408
7.42;0.0534862;-0.152437;-0.565462;-0.320956;-0.0936331
7.44;0.0224739;-0.87476;-0.725457;-0.335912;-0.055327
7.46;-0.410144;-1.22737;-0.896863;-0.26636;-0.0524764
7.48;-0.16868;-1.26216;-0.93922;-0.30231;-0.0391918
7.5;-0.0564284;-1.04316;-0.886474;-0.427729;-0.123613
7.52;-0.0176275;-0.817452;-0.842606;-0.482111;-0.151227
7.54;0.00411541;-0.540723;-0.824299;-0.523534;-0.155171
7.56;0.0113104;-0.215199;-0.836163;-0.511564;-0.134674
7.58;0.0331814;-0.113216;-0.846892;-0.509356;-0.161328
7.6;0.0553662;-0.00715601;-0.735249;-0.450964;-0.166246
7.62;0.0983693;0.0445246;-0.732782;-0.458814;-0.155136
7.64;0.134134;-0.150839;-0.622086;-0.286295;-0.108107
7.66;0.0800907;0.0314112;-0.638227;-0.0027386;-0.0974204
7.68;0.117851;0.185846;-0.414048;-0.202089;-0.121547
