date [s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <01>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <02>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <03>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <04>) [m/s],Average:Average of Translational X-Velocity (Study 01 - Eulerian Statistics <05>) [m/s]
1.77,0.0353656,0.391935,0.418381,-0.0302284,0.188784
1.78,0.0385669,0.379981,0.444859,0.0758971,0.164303
1.79,0.033875,0.395564,0.504475,0.156638,0.149066
1.8,0.0194931,0.367878,0.532447,0.200688,0.125605
1.81,0.017139,0.370513,0.543075,0.207479,0.102789
1.82,0.0157777,0.359172,0.523692,0.164954,0.0847787
1.83,0.0106187,0.328243,0.527554,0.0934875,0.0471753
1.84,0.0145611,0.308293,0.51015,0.00986498,0.0121097
1.85,0.0226008,0.299238,0.342582,-0.0983,0.00327272
1.86,0.0285914,0.279669,0.201327,-0.215761,-0.00962
1.87,0.0295803,0.276849,-0.0119586,-0.351903,-0.0316809
1.88,0.0264181,0.255554,-0.343434,-0.453548,-0.033866
1.89,0.0431903,0.123401,-0.458956,-0.544799,-0.0379163
1.9,0.037636,0.048151,-0.453055,-0.476278,-0.0313853
1.91,0.0463037,0.0306301,-0.34243,-0.393139,-0.0444814
1.92,0.043977,-0.0379303,-0.154888,-0.393835,-0.0598993
1.93,0.0187487,-0.0440197,0.0443708,-0.359021,-0.0513895
1.94,0.0176237,0.0459079,0.191476,-0.40098,-0.0586122
1.95,0.0194808,0.179344,0.31707,0.0331598,-0.0395762
1.96,-0.00171323,0.250315,0.416533,0.286145,-0.0599991
1.97,0.00605609,0.292782,0.405118,0.237967,-0.059516
1.98,0.00937967,0.309182,0.22658,0.21218,-0.0631736
1.99,0.0156202,0.341523,-0.0425396,0.0541033,-0.0720337
2,0.0276461,0.314241,-0.25798,-0.143023,-0.0743235
2.01,0.0305651,0.118003,-0.435441,-0.290249,-0.0734697
2.02,0.0550057,-0.204761,-0.648393,-0.301291,-0.0781354
2.03,0.07874,-0.460294,-0.749182,-0.257989,-0.0701641
2.04,0.0787609,-0.367448,-0.678472,-0.255534,-0.105685
2.05,0.068847,-0.168123,-0.581745,-0.269305,-0.125454
2.06,0.071391,0.0379264,-0.37033,-0.301824,-0.169557
2.07,0.0752721,0.256726,-0.1537,-0.387559,-0.217783
2.08,0.0616915,0.435025,0.0223636,-0.485072,-0.236349
2.09,0.0542673,0.43872,0.00420294,-0.562184,-0.256976
2.1,0.0555464,0.324946,-0.267909,-0.606624,-0.272709
2.11,0.0641814,-0.194379,-0.595233,-0.620927,-0.266073
2.12,0.0675085,-0.542216,-0.812635,-0.626222,-0.253759
