date [s],Average:Translational X-Velocity (Study 01 - Cube <01>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <02>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <03>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <04>) [m/s],Average:Translational X-Velocity (Study 01 - Cube <05>) [m/s]
1.41,0.00011071,4.53827e-05,9.44937e-05,-5.74191e-05,-9.83416e-07
1.42,9.43986e-07,0.000103074,0.000123629,5.28731e-05,-6.76821e-05
1.43,-2.54229e-06,9.39842e-05,0.000110864,4.9489e-06,1.3431e-05
1.44,6.25391e-05,0.000252906,0.000336737,0.000282062,-0.000140911
1.45,0.000433206,0.000484673,0.000372333,0.000146158,-0.000264755
1.46,0.000158635,0.000740658,0.000463801,0.000222756,-0.000393242
1.47,0.000316727,0.000879364,0.000350799,-0.000198695,-0.000455367
1.48,0.000251105,0.00112656,0.000329097,-7.80584e-05,-0.000320454
1.49,0.000842365,0.00105755,0.00046486,2.35666e-05,-0.000358435
1.5,0.000786198,0.00166406,0.00052661,0.000151838,-0.000709607
1.51,0.00081409,0.00209019,0.00108462,-0.000343066,-0.000875079
1.52,0.000571813,0.00165278,0.00100988,-0.000199095,-0.000740409
1.53,0.00105322,0.00158536,0.00187337,0.000653606,-0.00026126
1.54,0.00231412,0.00251922,0.00212894,0.000730524,-0.000554823
1.55,0.00184686,0.00309516,0.00159719,0.00137707,-0.000217112
1.56,0.00198852,0.00299598,0.00120986,0.000983515,-0.00106929
1.57,0.00210102,0.00288213,0.000990133,0.00141736,-0.000725656
1.58,0.00143982,0.00279458,0.00305567,0.00180006,-0.00183059
1.59,0.00129122,0.00194549,0.0039291,0.00270244,-0.00109881
1.6,0.00301509,0.0017073,0.00493355,0.0028096,9.8733e-05
1.61,0.00118221,0.00220592,0.00454999,0.00265114,0.000651928
1.62,0.000666667,0.00154436,0.00446665,0.00298175,-0.000437057
1.63,-0.000792957,0.000810962,0.00415219,0.00411392,0.001636
1.64,-0.00206603,0.000635752,0.00495918,0.00442956,0.003609
1.65,-0.00245394,0.000413276,0.00525525,0.00587815,0.00519088
1.66,-0.00349824,0.000548653,0.00568792,0.00593444,0.0071537
1.67,-0.00433632,0.000426697,0.00575246,0.00716421,0.00920514
1.68,-0.00589239,-0.000777069,0.00541365,0.00783271,0.0106782
1.69,-0.00701093,-0.00178487,0.00515398,0.00851894,0.012057
1.7,-0.00810991,-0.00265932,0.00483326,0.00959738,0.012842
1.71,-0.00939389,-0.00299476,0.00466407,0.0100882,0.0145205
1.72,-0.00869726,-0.00311047,0.00446147,0.0105207,0.0141133
1.73,-0.00559266,-0.00165487,0.00430303,0.010949,0.009734
1.74,-0.0025562,-0.00402563,0.00804913,0.0187388,0.0104889
1.75,-0.00409517,-0.00234807,0.00454542,0.0104655,0.00131977
1.76,0.000464043,-0.00624701,0.00354513,0.013029,0.00457333
1.77,-0.00320637,-0.00365134,0.00670459,0.00453011,0.0135996
1.78,-0.00184705,-0.00420659,0.0101204,0.0149287,0.00610097
1.79,-0.00106186,-0.00772601,0.00678747,0.0053294,0.00260289
1.8,-0.000584221,-0.00697898,-0.00125984,0.0089982,-0.00130025
1.81,0.006057,-0.00565269,0.00446437,0.0167987,-0.000133272
1.82,0.000262992,-0.00206334,0.0011119,0.00643713,0.00123893
1.83,-0.000152671,-0.00555653,0.00554656,0.0142424,0.0019467
1.84,-0.00273156,-0.00190413,0.00244882,0.0102904,0.0018891
1.85,-0.00360163,-0.00846455,0.00210613,0.00728919,0.000735899
1.86,-0.00645437,-0.00264295,0.00347911,0.0090322,-0.00164918
1.87,-0.00124219,-0.00449053,0.00460384,0.00735263,-0.00130836
1.88,-0.00122417,-0.00307632,0.00480236,0.00581511,0.00332285
1.89,-0.00101279,-0.00341359,0.00375357,0.00754825,-0.0029346
1.9,0.00312521,-0.00204259,-0.00147667,0.00388644,-0.00269077
1.91,0.00486063,0.00447612,0.00324496,0.00223053,-0.00265747
1.92,0.00544953,0.00513428,0.00293843,0.000169394,-0.00331117
1.93,0.00480258,0.00741667,0.00400066,-0.00111312,-0.00284727
1.94,0.00669777,0.00669993,0.00646592,-0.000227422,-0.00465959
1.95,0.00753479,0.00998066,0.00819816,-0.000448695,-0.0022053
1.96,0.00568407,0.0100005,0.009638,-0.00218652,-0.00326055
1.97,0.00831809,0.0104728,0.00863577,-0.00221619,-0.00331236
1.98,0.00617885,0.00907577,0.00780211,-0.000786779,-0.0031152
1.99,0.00565867,0.00732113,0.00871066,0.00256333,-0.00374275
2,0.00337881,0.0070824,0.009638,0.00417589,-0.00232629
2.01,0.00141947,0.00525517,0.0113414,0.00481833,-7.54945e-05
2.02,0.000343149,0.0032658,0.0111893,0.00758787,0.000939263
2.03,-0.00264181,0.000553545,0.0114949,0.0121498,0.00369831
2.04,-0.00556622,-0.00166463,0.00980554,0.0156486,0.00697205
2.05,-0.00992296,-0.00397792,0.0104277,0.0207466,0.00946601
2.06,-0.0135743,-0.0083027,0.0108639,0.0247779,0.0124382
2.07,-0.0164577,-0.0144013,0.0104434,0.0301263,0.0169105
2.08,-0.0190982,-0.0179233,0.0111252,0.0346312,0.0212163
2.09,-0.0223991,-0.0215667,0.0111676,0.0392048,0.0258575
2.1,-0.023489,-0.0226662,0.0114905,0.0427066,0.0284064
2.11,-0.0260708,-0.0233196,0.0119338,0.0450441,0.0297648
2.12,-0.0108126,-0.0226247,0.0124881,0.0473374,0.0245852
2.13,-0.00496227,-0.0164178,0.0173158,0.0489364,0.0183339
2.14,-0.0116104,-0.0209161,0.0159425,0.0402399,0.0232151
2.15,-0.00607894,-0.0190648,0.0236897,0.0373462,0.0142739
2.16,-0.0044819,-0.00448025,0.0427917,0.0412524,0.0131263
2.17,-0.00113644,-0.00636147,0.0118734,0.0343243,0.0165481
2.18,0.00543199,-0.0105199,0.0245894,0.0374097,0.0159878
2.19,0.00152027,-0.00946434,0.0185799,0.0322688,0.0101715
2.2,0.018519,-0.000972064,0.0114963,0.0332475,0.00437092
2.21,0.00883829,0.00174403,0.0138275,0.0311659,-0.00574912
2.22,0.00919642,-0.0105765,0.0106735,0.0317495,-0.00102482
2.23,0.00876939,-0.00839154,0.00351857,0.0245989,-0.000396227
2.24,0.0107947,-0.00682838,0.00256429,0.0351655,-0.00491753
2.25,0.0186054,-0.000959478,0.00590846,0.0304019,-0.00342352
2.26,0.0196413,-0.00202591,0.0125683,0.0277905,-0.00481396
2.27,0.0170012,-0.010773,0.014219,0.0282203,-0.00438173
2.28,0.0106758,-0.00209468,0.0143855,0.0290502,-0.00699671
2.29,0.0177774,-0.00953625,0.0101321,0.047089,-0.00600488
2.3,0.00343438,-0.0101334,0.00987799,0.0516829,-0.00491245
2.31,0.000501926,-0.0112418,0.00899863,0.0466406,0.0019969
2.32,0.0116066,-0.0114787,0.00656687,0.0481578,0.00274356
2.33,0.00992822,-0.00883106,0.000602933,0.0495717,0.00477786
2.34,0.0101721,-0.0122199,-0.000740022,0.0504333,0.00669343
2.35,0.0164593,-0.0111645,-0.0048796,0.0549267,0.00799498
2.36,0.0147186,-0.00902348,-0.0112365,0.0581889,0.00816207
2.37,0.0217983,-0.00529048,-0.018223,0.0630566,0.00305617
2.38,0.0247095,0.00165242,-0.0251441,0.0643109,0.00326612
2.39,0.0267215,0.010665,-0.0365486,0.0692129,-0.00132316
2.4,0.023328,0.0190791,-0.0434998,0.0722067,-0.00537031
2.41,0.0260168,0.030603,-0.0530221,0.0689656,-0.0136093
2.42,0.0298092,0.0423398,-0.0398252,0.0548502,-0.0215163
2.43,0.0352579,0.0525564,-0.0298343,0.0338234,-0.0184643
2.44,0.0388351,0.0598744,-0.00872223,0.0136627,-0.0175683
2.45,0.0363574,0.0688269,0.0440032,-0.0166996,-0.0178187
2.46,0.038631,0.0759262,0.0838513,-0.045701,-0.020734
2.47,0.0409587,0.0826254,0.110048,-0.0507109,-0.0186695
2.48,0.0504236,0.100453,0.124473,-0.0672089,-0.0178808
2.49,0.0461444,0.113979,0.130847,-0.0754894,-0.017455
2.5,0.0510126,0.123347,0.139258,-0.0660163,-0.0144046
2.51,0.046922,0.136915,0.127852,-0.0606895,-0.00832266
2.52,0.0493372,0.132481,0.102018,-0.0483834,-0.00998727
2.53,0.0493131,0.127074,0.0861096,-0.040946,-0.00886345
2.54,0.0536283,0.126194,0.0878383,-0.0308637,-0.0067862
2.55,0.0548197,0.121212,0.0789827,-0.017964,-0.00381663
2.56,0.0582413,0.119493,0.0695812,-0.0106739,-0.00392072
2.57,0.0523815,0.106213,0.0601162,-0.00485002,-0.00327147
2.58,0.0530215,0.102355,0.0571862,-0.00136463,-0.00464193
2.59,0.0508575,0.0943113,0.0514528,-0.00547115,-0.0054032
2.6,0.0484466,0.0946563,0.0542942,-0.00693822,-0.00850963
2.61,0.0473885,0.0972372,0.0562672,-0.0168835,-0.011986
2.62,0.045471,0.0961775,0.0469904,-0.0338166,-0.0139216
2.63,0.03735,0.0898009,0.0361473,-0.0380132,-0.0142232
2.64,0.0303915,0.0837748,0.0382433,-0.0427668,-0.0144344
2.65,0.027072,0.0780167,0.0411115,-0.0481192,-0.0179122
2.66,0.0225544,0.0704009,0.0457298,-0.0602503,-0.0217222
2.67,0.0171293,0.0633189,0.0454888,-0.0699519,-0.0234372
2.68,0.00999687,0.052141,0.0474534,-0.0824478,-0.026638
2.69,0.00384179,0.0436546,0.0478318,-0.0945478,-0.0283303
2.7,-0.00264586,0.0343527,0.0509831,-0.106455,-0.0284672
2.71,-0.00667716,0.0240377,0.0533818,-0.115557,-0.0279248
2.72,-0.010726,0.0162871,0.049759,-0.126481,-0.0292394
2.73,-0.0154472,0.00642109,0.0414623,-0.131508,-0.0267949
2.74,-0.0181327,-0.00258351,0.0344171,-0.135329,-0.0256987
2.75,-0.0200243,-0.00433489,0.0169143,-0.132111,-0.0235847
2.76,-0.0190996,-0.00681501,-0.0019678,-0.137842,-0.0228915
2.77,-0.0186419,-0.00487418,-0.0125445,-0.12873,-0.0246703
2.78,-0.0134539,-0.00562329,-0.0269237,-0.119509,-0.0266576
2.79,-0.00820385,0.00657569,-0.0385473,-0.0994674,-0.0213742
2.8,0.00119749,0.00311832,-0.0534401,-0.0829756,-0.030068
2.81,0.00734461,0.00788038,-0.0635889,-0.0722507,-0.0365034
2.82,0.0204369,0.0102622,-0.064421,-0.0459015,-0.0380358
2.83,0.0288077,0.0176983,-0.0578305,-0.0253066,-0.0262283
2.84,0.0293145,0.0296022,-0.0573567,-0.0222846,-0.0293072
2.85,0.0312207,0.0247751,-0.0593104,-0.00767633,-0.0186378
2.86,0.0317814,0.0256434,-0.0548989,0.00187979,-0.0100695
2.87,0.032165,0.0375589,-0.0544682,0.0105909,-0.0138152
2.88,0.0270185,0.0434521,-0.0382557,0.0213072,-0.00551759
2.89,0.0294842,0.0481294,-0.037477,0.0172145,-0.00767758
2.9,0.0269952,0.0479958,-0.0336971,0.0203693,-0.00519454
2.91,0.0277867,0.0422419,-0.0266164,0.0197692,-0.00854534
2.92,0.0305276,0.0401289,-0.0203073,0.0158989,-0.00409328
2.93,0.031295,0.0428238,-0.0129974,0.0183946,-0.00647489
2.94,0.0317537,0.0441465,-0.00775571,0.0170345,-0.0125231
2.95,0.0301811,0.0429056,-0.0109182,0.0155154,-0.000392043
2.96,0.0286408,0.0434878,-0.00618025,0.0120924,0.00476911
2.97,0.0251314,0.0464395,-0.00121761,0.00766603,0.00303164
2.98,0.0263514,0.0513159,0.00159617,0.00249694,-0.00347649
2.99,0.0265844,0.0538697,0.00603612,-0.000298821,-0.00123089
3,0.0266852,0.0632857,0.0101126,-0.00322348,-0.00284418
3.01,0.0248886,0.0558422,0.0135069,-0.00578248,-0.00296514
3.02,0.0246676,0.0478652,0.0137695,-0.00948967,-0.0034052
3.03,0.0214186,0.0435204,0.0175309,-0.013477,-0.00371033
3.04,0.0153948,0.0458165,0.0131088,-0.0197867,-0.00728099
3.05,0.0135865,0.0359404,0.0109425,-0.0305936,-0.0154176
3.06,0.0111233,0.032431,0.00951276,-0.0371471,-0.0169293
3.07,0.011483,0.0263496,0.0121923,-0.0417815,-0.0205179
3.08,0.00695753,0.0176229,0.0176403,-0.0427246,-0.0193948
3.09,0.00147625,0.00713944,0.0287828,-0.0432708,-0.0218315
3.1,-0.000392044,-0.00341003,0.0303109,-0.0452832,-0.0236084
3.11,0.000911852,-0.0104476,0.0225615,-0.0472895,-0.0261432
3.12,0.00979914,-0.0124217,0.0142697,-0.0522381,-0.0289341
3.13,0.0172177,-0.00962332,-0.00473959,-0.0565283,-0.0326551
3.14,0.0231351,-0.00220008,-0.0229448,-0.0589745,-0.0347999
3.15,0.0280474,0.00721326,-0.043614,-0.0612957,-0.0351717
3.16,0.0394911,0.0231078,-0.0729648,-0.0621043,-0.0338873
3.17,0.0363225,0.0400153,-0.096104,-0.0666431,-0.0295928
3.18,0.031948,0.0528053,-0.102294,-0.0677961,-0.0277832
3.19,0.0329488,0.0630881,-0.114484,-0.0735553,-0.0286026
3.2,0.0293201,0.0712562,-0.110398,-0.0760477,-0.0289693
3.21,0.0261053,0.0794142,-0.111088,-0.0814709,-0.0279046
3.22,0.021926,0.0728359,-0.0994944,-0.0876518,-0.0258681
3.23,0.0234468,0.0620842,-0.0987829,-0.0944088,-0.0221249
3.24,0.0221848,0.0497111,-0.102069,-0.0948678,-0.0211808
3.25,0.019943,0.045046,-0.107694,-0.0976903,-0.0204081
3.26,0.019034,0.0450182,-0.0984097,-0.0963811,-0.023045
3.27,0.0181217,0.0322415,-0.0958458,-0.100566,-0.0203444
